year,par,cf1,cf2,cf3
2015,E388646,0,0,0
2015,E389815,0,0,0
2015,E389564,0,0,0
2015,E395519,0,0,0
2015,E390004,0,0,0
2015,2545931,0,0,0
2015,E394506,19,0,0
2015,E391393,0,0,0
2015,E391982,0,0,0
2015,E392202,0,0,0
2015,E392488,0,0,0
2015,E393717,0,0,0
2015,E397403,0,0,0
2015,E394848,0,0,0
2015,E393927,0,0,0
2015,E394224,0,0,0
2015,E394721,23,0,0
2015,E394834,0,0,0
2015,E395872,0,0,0
2015,E395384,0,0,0
2015,E397554,0,0,0
2015,E395434,15,0,0
2015,E395451,0,0,0
2015,E395558,0,0,0
2015,3468949,0,0,0
2015,E395955,0,0,0
2015,E396019,0,0,0
2015,E394586,0,0,0
2015,E396307,0,0,0
2015,E397160,0,0,0
2015,3575106,0,0,0
2015,3652192,0,0,0
2015,3360360,0,0,0
2015,2753689,0,0,0
2015,E391450,0,0,0
2015,3492996,0,0,0
2015,E392420,0,0,0
2015,E397611,0,0,0
2015,E398236,0,0,0
2015,E399762,0,0,0
2015,E400046,0,0,0
2015,E403226,0,0,0
2015,E402770,0,0,0
2015,E401307,0,0,0
2015,E401502,0,0,0
2015,E402786,0,0,0
2015,E402160,0,0,0
2015,E407476,0,0,0
2015,E402980,0,0,0
2015,E402936,0,0,0
2015,E402451,0,0,0
2015,E402649,0,0,0
2015,3698476,0,0,0
2015,E403371,0,0,0
2015,E403801,0,0,0
2015,E404882,0,0,0
2015,E404822,0,0,0
2015,3158466,0,0,0
2015,E403859,0,0,0
2015,2948595,0,0,0
2015,0IR1500,0,0,0
2015,E407377,0,0,0
2015,E405071,0,0,0
2015,E406918,0,0,0
2015,E410194,0,0,0
2015,E406246,0,0,0
2015,E409530,0,0,0
2015,E405625,0,0,0
2015,E410373,0,0,0
2015,E408965,0,0,0
2015,E409431,0,0,0
2015,E408340,0,0,0
2015,E406697,0,0,0
2015,E413348,0,0,0
2015,E407307,0,0,0
2015,E407803,0,0,0
2015,E408304,0,0,0
2015,E412814,0,0,0
2015,2545845,20,0,0
2015,E409906,0,0,0
2015,E411995,0,0,0
2015,E411012,0,0,0
2015,2545846,0,0,0
2015,E412078,0,0,0
2015,E417508,0,0,0
2015,E411865,0,0,0
2015,E413325,0,0,0
2015,E412191,0,0,0
2015,E406675,0,0,0
2015,E412892,0,0,0
2015,3475107,0,0,0
2015,E422001,0,0,0
2015,E413113,0,0,0
2015,E414325,0,0,0
2015,E413437,0,0,0
2015,E416858,0,0,0
2015,2545847,0,0,0
2015,E415291,0,0,0
2015,E414918,19,0,0
2015,3683128,0,0,0
2015,E416862,0,0,0
2015,E417457,0,0,0
2015,E417379,0,0,0
2015,E420142,0,0,0
2015,E417581,0,0,0
2015,E417907,0,0,0
2015,E418493,0,0,0
2015,E419095,0,0,0
2015,E425975,0,0,0
2015,3714128,0,0,0
2015,2909004,0,0,0
2015,3301295,0,0,0
2015,E426005,0,0,0
2015,E423249,0,0,0
2015,E414607,0,0,0
2015,3428048,0,0,0
2015,E419710,0,0,0
2015,E420482,0,0,0
2015,3720454,0,0,0
2015,E422029,0,0,0
2015,E423253,0,0,0
2015,E423919,0,0,0
2015,E429392,0,0,0
2015,E428399,0,0,0
2015,3076072,0,0,0
2015,E423768,0,0,0
2015,E424009,0,0,0
2015,E423554,0,0,0
2015,E407371,0,0,0
2015,E430387,0,0,0
2015,E423885,20,0,0
2015,E423889,0,0,0
2015,E425491,0,0,0
2015,E427327,0,0,0
2015,E430515,0,0,0
2015,E425383,0,0,0
2015,E425504,0,0,0
2015,E425534,0,0,0
2015,E428111,0,0,0
2015,E427164,0,0,0
2015,E427768,0,0,0
2015,E429790,0,0,0
2015,2545848,0,0,0
2015,E431146,0,0,0
2015,2569111,0,0,0
2015,E427774,0,0,0
2015,E433504,0,0,0
2015,E430913,19,0,0
2015,E431782,0,0,0
2015,E431215,0,0,0
2015,E432908,0,0,0
2015,E432837,0,0,0
2015,E433026,0,0,0
2015,E433479,0,0,0
2015,E434034,0,0,0
2015,3683127,0,0,0
2015,E434422,0,0,0
2015,E435317,0,0,0
2015,E436211,0,0,0
2015,E434526,0,0,0
2015,E434264,0,0,0
2015,E434789,0,0,0
2015,E435713,20,0,0
2015,E435249,18,0,0
2015,E400218,0,0,0
2015,E403048,0,0,0
2015,3653201,0,0,0
2015,3641239,0,0,0
2015,E415140,0,0,0
2015,E440794,0,0,0
2015,E442880,0,0,0
2015,E428983,0,0,0
2015,E423073,0,0,0
2015,E437850,0,0,0
2015,E439322,0,0,0
2015,3359239,0,0,0
2015,E437340,0,0,0
2015,E439771,0,0,0
2015,E435561,0,0,0
2015,3074201,0,0,0
2015,E435983,0,0,0
2015,E436471,0,0,0
2015,E439497,0,0,0
2015,E429846,0,0,0
2015,E439420,23,0,0
2015,E440726,0,0,0
2015,E437837,0,0,0
2015,E437903,0,0,0
2015,E440114,0,0,0
2015,E437324,0,0,0
2015,3503413,0,0,0
2015,E438384,0,0,0
2015,E438970,0,0,0
2015,E438683,0,0,0
2015,E440165,0,0,0
2015,3118669,0,0,0
2015,E443503,0,0,0
2015,E440053,0,0,0
2015,E436946,0,0,0
2015,E438961,0,0,0
2015,E440223,0,0,0
2015,E442058,0,0,0
2015,E441186,0,0,0
2015,E441410,0,0,0
2015,E441931,0,0,0
2015,E440082,0,0,0
2015,E440292,0,0,0
2015,E441830,0,0,0
2015,E440077,0,0,0
2015,E440340,0,0,0
2015,3322030,0,0,0
2015,E440836,0,0,0
2015,E442732,0,0,0
2015,E442177,0,0,0
2015,E442293,0,0,0
2015,E443042,0,0,0
2015,E443157,0,0,0
2015,3731251,0,0,0
2015,E451619,0,0,0
2015,E445503,0,0,0
2015,E446127,0,0,0
2015,E442987,0,0,0
2015,E448517,0,0,0
2015,E445188,0,0,0
2015,E445501,0,0,0
2015,E447258,0,0,0
2015,E451370,0,0,0
2015,E446280,0,0,0
2015,E453755,0,0,0
2015,E425792,0,0,0
2015,E445543,0,0,0
2015,E435763,0,0,0
2015,E455304,0,0,0
2015,E444825,0,0,0
2015,E445392,0,0,0
2015,E455886,0,0,0
2015,E446372,0,0,0
2015,E443123,0,0,0
2015,E445454,0,0,0
2015,E446323,0,0,0
2015,E446914,0,0,0
2015,E448045,0,0,0
2015,3528332,0,0,0
2015,E450155,0,0,0
2015,E451581,0,0,0
2015,E451574,0,0,0
2015,E412964,0,0,0
2015,3594040,0,0,0
2015,E443718,0,0,0
2015,E450608,0,0,0
2015,E451740,0,0,0
2015,E452744,0,0,0
2015,E449078,0,0,0
2015,E450719,0,0,0
2015,E449206,0,0,0
2015,E449707,0,0,0
2015,E448727,0,0,0
2015,E453450,0,0,0
2015,E449000,0,0,0
2015,E450761,0,0,0
2015,E449390,0,0,0
2015,E455245,0,0,0
2015,E453684,0,0,0
2015,E453177,0,0,0
2015,3695446,0,0,0
2015,E456398,0,0,0
2015,E450513,0,0,0
2015,E452675,23,0,0
2015,E451277,0,0,0
2015,E451448,0,0,0
2015,E453275,0,0,0
2015,E453398,0,0,0
2015,E461491,0,0,0
2015,E453040,0,0,0
2015,E454970,0,0,0
2015,E452868,0,0,0
2015,E453904,0,0,0
2015,E455032,0,0,0
2015,E454960,0,0,0
2015,E453038,0,0,0
2015,E453237,0,0,0
2015,E457372,0,0,0
2015,E454323,0,0,0
2015,E454972,0,0,0
2015,E456683,0,0,0
2015,E456913,0,0,0
2015,E453202,0,0,0
2015,E456856,0,0,0
2015,3569553,0,0,0
2015,E455749,0,0,0
2015,E455593,0,0,0
2015,E460731,0,0,0
2015,E457009,0,0,0
2015,E457323,0,0,0
2015,E459583,0,0,0
2015,E457228,0,0,0
2015,E457954,0,0,0
2015,E462455,0,0,0
2015,E461115,0,0,0
2015,E435786,0,0,0
2015,E457924,0,0,0
2015,E461429,0,0,0
2015,E426280,0,0,0
2015,E443981,0,0,0
2015,3066739,0,0,0
2015,E458654,0,0,0
2015,E460713,0,0,0
2015,E458879,0,0,0
2015,E460163,0,0,0
2015,E459555,0,0,0
2015,3733812,0,0,0
2015,E459366,0,0,0
2015,E459887,0,0,0
2015,E460478,0,0,0
2015,E459649,0,0,0
2015,E461257,0,0,0
2015,E461069,0,0,0
2015,E463679,0,0,0
2015,E461613,0,0,0
2015,3659318,0,0,0
2015,E461496,0,0,0
2015,E460101,0,0,0
2015,E464113,0,0,0
2015,E461256,0,0,0
2015,E462184,0,0,0
2015,E462030,0,0,0
2015,E451963,0,0,0
2015,3725864,0,0,0
2015,E461907,0,0,0
2015,E462148,0,0,0
2015,E463494,0,0,0
2015,E465188,0,0,0
2015,3048566,0,0,0
2015,E431292,0,0,0
2015,E460973,0,0,0
2015,E489789,0,0,0
2015,E464092,0,0,0
2015,E466792,20,0,0
2015,E461614,0,0,0
2015,E463341,0,0,0
2015,E462099,0,0,0
2015,E463610,0,0,0
2015,3346523,0,0,0
2015,3672722,0,0,0
2015,3732834,0,0,0
2015,E464426,0,0,0
2015,E462625,0,0,0
2015,E463191,0,0,0
2015,E463921,0,0,0
2015,E464932,0,0,0
2015,E464026,0,0,0
2015,E460147,0,0,0
2015,E460613,0,0,0
2015,E467232,0,0,0
2015,E466672,0,0,0
2015,E466359,0,0,0
2015,E468809,0,0,0
2015,3703661,0,0,0
2015,E466252,0,0,0
2015,E466411,0,0,0
2015,E465607,0,0,0
2015,E467907,0,0,0
2015,E465367,0,0,0
2015,E466042,0,0,0
2015,E479920,0,0,0
2015,E467054,0,0,0
2015,E467212,0,0,0
2015,E471755,0,0,0
2015,E466494,0,0,0
2015,3687820,0,0,0
2015,E467929,0,0,0
2015,E472095,0,0,0
2015,E470543,0,0,0
2015,E470613,0,0,0
2015,E472843,0,0,0
2015,E475513,0,0,0
2015,E469430,0,0,0
2015,E469183,0,0,0
2015,E470164,0,0,0
2015,E471390,0,0,0
2015,E471720,0,0,0
2015,E474210,0,0,0
2015,E475209,0,0,0
2015,E472127,0,0,0
2015,E471181,0,0,0
2015,E470465,0,0,0
2015,E489283,14,0,0
2015,E472564,0,0,0
2015,E495356,0,0,0
2015,E472630,0,0,0
2015,E473028,0,0,0
2015,E472516,0,0,0
2015,E458020,0,0,0
2015,E474687,0,0,0
2015,E472766,0,0,0
2015,E491545,0,0,0
2015,E474462,0,0,0
2015,E474636,0,0,0
2015,E476811,0,0,0
2015,E476080,0,0,0
2015,E476262,0,0,0
2015,E476403,0,0,0
2015,E476359,0,0,0
2015,E478588,0,0,0
2015,E477236,0,0,0
2015,E477451,0,0,0
2015,E486356,0,0,0
2015,E493847,0,0,0
2015,E480104,0,0,0
2015,E480603,0,0,0
2015,3122482,0,0,0
2015,E481538,0,0,0
2015,E481058,0,0,0
2015,E481763,0,0,0
2015,E479889,0,0,0
2015,E487296,0,0,0
2015,E481410,0,0,0
2015,E481954,0,0,0
2015,E480419,0,0,0
2015,E480331,0,0,0
2015,E480334,0,0,0
2015,E480333,0,0,0
2015,E482499,0,0,0
2015,E483871,0,0,0
2015,E480742,0,0,0
2015,E483853,0,0,0
2015,E481586,0,0,0
2015,E481697,0,0,0
2015,E483957,0,0,0
2015,E483232,0,0,0
2015,E483757,0,0,0
2015,E485127,0,0,0
2015,E483980,0,0,0
2015,E488732,0,0,0
2015,E485504,0,0,0
2015,E484165,0,0,0
2015,E484298,0,0,0
2015,E485845,0,0,0
2015,3603030,0,0,0
2015,E474844,0,0,0
2015,E503377,0,0,0
2015,3726138,0,0,0
2015,E484106,16,23,0
2015,E495558,0,0,0
2015,E484756,0,0,0
2015,E485266,0,0,0
2015,E486156,0,0,0
2015,3615678,0,0,0
2015,E488728,0,0,0
2015,E491704,0,0,0
2015,E486373,0,0,0
2015,3048713,0,0,0
2015,E491745,0,0,0
2015,E489184,0,0,0
2015,E489809,0,0,0
2015,3720686,23,24,0
2015,E489581,0,0,0
2015,E491678,0,0,0
2015,3702810,0,0,0
2015,E491331,0,0,0
2015,E490720,0,0,0
2015,E492833,0,0,0
2015,E492647,0,0,0
2015,E496040,0,0,0
2015,E494558,0,0,0
2015,E493944,0,0,0
2015,E494915,0,0,0
2015,E492824,0,0,0
2015,3666318,0,0,0
2015,E495228,0,0,0
2015,E494913,23,0,0
2015,E496577,0,0,0
2015,3791486,0,0,0
2015,E495929,0,0,0
2015,E500672,0,0,0
2015,E497277,0,0,0
2015,E496135,0,0,0
2015,E496895,0,0,0
2015,E499975,0,0,0
2015,E499956,0,0,0
2015,E500057,0,0,0
2015,E499446,0,0,0
2015,E503017,0,0,0
2015,E499803,0,0,0
2015,E499802,0,0,0
2015,E499569,0,0,0
2015,E502683,0,0,0
2015,E502939,0,0,0
2015,E501492,0,0,0
2015,E503344,0,0,0
2015,3738327,0,0,0
2015,E484310,0,0,0
2015,00D30NO,0,0,0
2015,E443358,0,0,0
2015,E454816,0,0,0
2015,E426666,0,0,0
2015,E535357,0,0,0
2015,E580343,0,0,0
2015,E600345,0,0,0
2016,E500620,0,0,0
2016,E502165,0,0,0
2016,E502377,0,0,0
2016,3698940,0,0,0
2016,E502343,0,0,0
2016,E503334,0,0,0
2016,E504624,0,0,0
2016,E507699,0,0,0
2016,E504479,0,0,0
2016,E506682,0,0,0
2016,E508420,0,0,0
2016,E509669,0,0,0
2016,E509827,15,0,0
2016,E506251,0,0,0
2016,E506679,0,0,0
2016,E508085,0,0,0
2016,E508852,0,0,0
2016,E509807,0,0,0
2016,E513744,0,0,0
2016,E510204,0,0,0
2016,E510070,0,0,0
2016,E511662,0,0,0
2016,E515105,0,0,0
2016,E512107,0,0,0
2016,E516166,0,0,0
2016,E512964,0,0,0
2016,E517229,0,0,0
2016,3121941,0,0,0
2016,E515804,0,0,0
2016,E518655,0,0,0
2016,E513758,0,0,0
2016,E516001,0,0,0
2016,E516633,0,0,0
2016,E515442,0,0,0
2016,E517488,0,0,0
2016,E516287,0,0,0
2016,E518588,0,0,0
2016,E515506,0,0,0
2016,E516078,0,0,0
2016,E517864,0,0,0
2016,E519201,0,0,0
2016,E519182,0,0,0
2016,E519778,0,0,0
2016,E518747,0,0,0
2016,E519118,0,0,0
2016,E522121,0,0,0
2016,E523502,0,0,0
2016,E520360,0,0,0
2016,E521589,0,0,0
2016,E519917,0,0,0
2016,E521559,23,0,0
2016,E520518,0,0,0
2016,E522122,0,0,0
2016,E523202,0,0,0
2016,E523026,0,0,0
2016,E524915,0,0,0
2016,E524685,0,0,0
2016,E524944,0,0,0
2016,E524284,0,0,0
2016,E524667,0,0,0
2016,E524010,0,0,0
2016,E524865,0,0,0
2016,E526487,0,0,0
2016,E525955,0,0,0
2016,E526286,0,0,0
2016,E527934,23,0,0
2016,E527417,0,0,0
2016,E526903,0,0,0
2016,E528111,0,0,0
2016,3386411,0,0,0
2016,E527239,0,0,0
2016,E525801,0,0,0
2016,E526000,0,0,0
2016,E526884,0,0,0
2016,3790458,0,0,0
2016,E527039,0,0,0
2016,E528500,0,0,0
2016,E533218,0,0,0
2016,E516764,0,0,0
2016,E528779,0,0,0
2016,E531362,0,0,0
2016,E527490,0,0,0
2016,3735352,0,0,0
2016,E533737,0,0,0
2016,E531288,0,0,0
2016,E529095,0,0,0
2016,E537674,0,0,0
2016,E539526,0,0,0
2016,2868069,0,0,0
2016,E529241,0,0,0
2016,E531998,28,0,0
2016,E529696,0,0,0
2016,E531033,0,0,0
2016,E531233,0,0,0
2016,E531452,0,0,0
2016,E534282,0,0,0
2016,E530609,0,0,0
2016,E531130,0,0,0
2016,E533108,0,0,0
2016,3321596,0,0,0
2016,E532833,0,0,0
2016,E532886,23,0,0
2016,E533222,0,0,0
2016,E533988,0,0,0
2016,E533186,0,0,0
2016,E534844,23,0,0
2016,E536627,0,0,0
2016,E531108,19,0,0
2016,3780577,20,0,0
2016,E535020,0,0,0
2016,E536096,0,0,0
2016,E543745,0,0,0
2016,E535599,0,0,0
2016,E537533,0,0,0
2016,E538415,0,0,0
2016,E536576,0,0,0
2016,E536844,0,0,0
2016,E536042,0,0,0
2016,E538003,0,0,0
2016,E538283,0,0,0
2016,E537796,0,0,0
2016,E540022,0,0,0
2016,E538328,0,0,0
2016,E538253,0,0,0
2016,E540212,0,0,0
2016,E539200,0,0,0
2016,E540810,0,0,0
2016,E539847,0,0,0
2016,E540294,0,0,0
2016,E547733,0,0,0
2016,E542393,0,0,0
2016,E541989,0,0,0
2016,E541364,0,0,0
2016,E540373,0,0,0
2016,E541873,0,0,0
2016,E541805,0,0,0
2016,E542725,0,0,0
2016,E543743,0,0,0
2016,E545097,0,0,0
2016,E543244,0,0,0
2016,E543907,0,0,0
2016,E544153,0,0,0
2016,E542744,0,0,0
2016,E544670,0,0,0
2016,E544286,0,0,0
2016,E544552,0,0,0
2016,3631477,0,0,0
2016,E525196,20,0,0
2016,E552522,0,0,0
2016,E546939,0,0,0
2016,E546809,0,0,0
2016,E547399,0,0,0
2016,E548071,0,0,0
2016,E547998,0,0,0
2016,E547163,0,0,0
2016,E549362,0,0,0
2016,E549352,0,0,0
2016,E527330,0,0,0
2016,E540473,0,0,0
2016,3704527,0,0,0
2016,3659473,0,0,0
2016,3695721,0,0,0
2016,E550847,0,0,0
2016,E558650,0,0,0
2016,E554337,0,0,0
2016,E559072,0,0,0
2016,E551883,0,0,0
2016,E554426,0,0,0
2016,E559903,0,0,0
2016,E553382,28,0,0
2016,3660656,0,0,0
2016,E550639,0,0,0
2016,E552304,0,0,0
2016,E552940,0,0,0
2016,E552486,0,0,0
2016,E554098,0,0,0
2016,E559174,0,0,0
2016,E556176,0,0,0
2016,E553571,0,0,0
2016,E554367,0,0,0
2016,E553849,0,0,0
2016,E557793,0,0,0
2016,E558296,0,0,0
2016,E555136,0,0,0
2016,E555363,0,0,0
2016,E557130,0,0,0
2016,E555797,0,0,0
2016,E555553,0,0,0
2016,E556582,0,0,0
2016,E557133,0,0,0
2016,E560523,0,0,0
2016,E556269,0,0,0
2016,E557846,0,0,0
2016,E561175,0,0,0
2016,E561169,0,0,0
2016,E561897,0,0,0
2016,E558148,0,0,0
2016,E557828,0,0,0
2016,E559339,0,0,0
2016,E557381,0,0,0
2016,E561465,0,0,0
2016,E555085,0,0,0
2016,E559015,0,0,0
2016,E559457,0,0,0
2016,E513024,0,0,0
2016,E518543,0,0,0
2016,E528789,0,0,0
2016,E529936,0,0,0
2016,3566057,0,0,0
2016,3602435,0,0,0
2016,3740059,0,0,0
2016,E550835,0,0,0
2016,E563666,0,0,0
2016,E567319,0,0,0
2016,E561060,0,0,0
2016,E558197,0,0,0
2016,E557639,14,0,0
2016,E560237,0,0,0
2016,E560213,0,0,0
2016,E569970,0,0,0
2016,E560711,0,0,0
2016,E560700,0,0,0
2016,E561278,0,0,0
2016,E564446,0,0,0
2016,E564462,0,0,0
2016,E561943,0,0,0
2016,E563398,0,0,0
2016,E564435,0,0,0
2016,3695372,0,0,0
2016,E563397,0,0,0
2016,E568024,0,0,0
2016,E563889,0,0,0
2016,E565642,14,0,0
2016,E568869,0,0,0
2016,E566445,0,0,0
2016,E566002,0,0,0
2016,E564714,0,0,0
2016,E566938,0,0,0
2016,E564043,0,0,0
2016,E574355,0,0,0
2016,E565539,0,0,0
2016,E565793,0,0,0
2016,E557457,0,0,0
2016,E566511,0,0,0
2016,E568162,0,0,0
2016,E566710,0,0,0
2016,E568534,0,0,0
2016,E571244,0,0,0
2016,E570186,0,0,0
2016,2985910,0,0,0
2016,E567082,0,0,0
2016,E567045,0,0,0
2016,E551192,0,0,0
2016,E567205,0,0,0
2016,E568789,0,0,0
2016,E567828,0,0,0
2016,E568674,0,0,0
2016,E567855,0,0,0
2016,E572694,0,0,0
2016,E570022,0,0,0
2016,E575873,0,0,0
2016,E569763,0,0,0
2016,E569463,0,0,0
2016,3698610,0,0,0
2016,E572127,0,0,0
2016,E574076,0,0,0
2016,E564578,0,0,0
2016,E568949,0,0,0
2016,E572252,0,0,0
2016,E573381,0,0,0
2016,E575571,0,0,0
2016,3633624,0,0,0
2016,E570381,0,0,0
2016,E571446,0,0,0
2016,E575717,0,0,0
2016,E570984,0,0,0
2016,E574599,0,0,0
2016,E576898,0,0,0
2016,E571919,0,0,0
2016,E575021,0,0,0
2016,E581963,0,0,0
2016,E573367,0,0,0
2016,E573895,0,0,0
2016,E573713,0,0,0
2016,E577494,0,0,0
2016,E574081,0,0,0
2016,E574719,0,0,0
2016,E574471,0,0,0
2016,E582718,0,0,0
2016,E575070,0,0,0
2016,E575259,0,0,0
2016,E578660,0,0,0
2016,E579942,0,0,0
2016,E578356,0,0,0
2016,E576696,0,0,0
2016,E576904,0,0,0
2016,E572662,0,0,0
2016,E577626,0,0,0
2016,E577214,0,0,0
2016,E587766,27,0,0
2016,E580290,0,0,0
2016,E579782,0,0,0
2016,E575609,0,0,0
2016,E579001,0,0,0
2016,E581658,0,0,0
2016,E579471,0,0,0
2016,E578641,0,0,0
2016,E583101,0,0,0
2016,E577849,0,0,0
2016,E580190,0,0,0
2016,3727593,0,0,0
2016,E579074,0,0,0
2016,E581098,0,0,0
2016,E581362,0,0,0
2016,3121634,0,0,0
2016,E580726,0,0,0
2016,3783113,0,0,0
2016,E577458,0,0,0
2016,E575653,0,0,0
2016,E589973,0,0,0
2016,E581900,0,0,0
2016,E587509,0,0,0
2016,E581568,0,0,0
2016,E581605,0,0,0
2016,E588457,0,0,0
2016,E582179,0,0,0
2016,E582640,0,0,0
2016,E582553,0,0,0
2016,E583239,0,0,0
2016,E582853,0,0,0
2016,E586464,0,0,0
2016,E587832,0,0,0
2016,E583567,0,0,0
2016,E585145,0,0,0
2016,E587344,0,0,0
2016,E583659,0,0,0
2016,3754542,0,0,0
2016,E593836,0,0,0
2016,E584861,0,0,0
2016,E586601,0,0,0
2016,E586368,0,0,0
2016,E585999,0,0,0
2016,E585929,0,0,0
2016,3730683,0,0,0
2016,E586734,0,0,0
2016,E586714,0,0,0
2016,3687384,0,0,0
